brand,semiotic,narrative,ideological,experiential,social,economic,cultural,temporal,overall_dci_delta
Hermes,0.2955,0.1894,0.0909,-0.3333,0.4394,1.7045,0.7197,0.3333,0.4299
IKEA,0.0,-0.1667,0.0833,0.0,-0.5,0.1667,0.4167,0.3333,0.0417
Patagonia,0.4545,0.3864,0.0833,-0.5985,0.0455,0.5151,0.2122,-0.3409,0.0947
Erewhon,-0.2333,0.5667,0.2333,0.3333,0.2667,1.2444,0.8,0.5778,0.4736
Tesla,0.5,0.0,0.0,0.0,0.0,-1.5,0.4,-0.9,-0.1875
Nike,-0.3409,-0.1364,-0.3182,-0.2197,0.1742,1.7803,1.5758,-1.4697,0.1307
Apple,-0.3,-1.1,-0.5,0.2,0.2,-1.2,2.2,1.6,0.1375
Starbucks,-1.4909,-0.1909,-0.0909,3.5091,-0.1545,-6.1727,0.3182,-0.1727,-0.5557
Coca-Cola,-0.4394,-0.8636,-0.2122,-0.8106,0.3712,-0.2045,0.25,0.0909,-0.2273
Mercedes-Benz,0.0455,0.6894,-0.3333,-1.1288,-0.1212,0.5531,0.4015,-0.3485,-0.0303
Zara,0.5758,-0.1136,-0.394,-0.0455,0.0455,-0.5303,0.3106,-0.606,-0.0947
Rolex,1.1666,0.5,0.9167,0.5833,0.4167,-0.75,-0.3334,0.6667,0.3959
Netflix,-1.0,-0.25,-0.5,-0.5,0.0834,-0.5833,-1.0,-0.0833,-0.4792
Lululemon,-0.0545,-0.0364,-0.2273,0.1,-0.8273,-1.6,-0.9273,-0.4727,-0.5057
Trader Joe's,0.0,0.1667,0.3333,0.4167,0.25,-0.3333,-2.1667,-0.4167,-0.2187
Louis Vuitton,0.5,0.0,0.0,0.0,-0.3,-1.0,0.1,0.3,-0.05
The North Face,0.0545,-0.0727,-0.5273,-1.7636,0.1727,-0.1182,0.1273,0.7636,-0.1705
Whole Foods Market,-0.6455,-1.0364,1.2182,-0.0364,-0.0818,-1.7273,1.6818,0.4455,-0.0227
Rivian,1.4,-0.1778,-0.5333,-1.0667,-0.0667,2.1667,-1.4667,-0.3222,-0.0083
Dove,-0.25,-0.6666,0.6666,0.3333,0.0833,0.4167,-0.1667,0.0,0.0521
Volvo,-0.0455,-0.2576,0.7727,-0.7878,-0.8182,0.0455,0.5076,0.3258,-0.0322